,No.,Ticker,Company,Sector,Industry,Country,Market Cap,P/E,Fwd P/E,PEG,P/S,P/B,P/C,P/FCF,Dividend,Payout Ratio,EPS,EPS this Y,EPS next Y,EPS past 5Y,EPS next 5Y,Sales past 5Y,EPS Q/Q,Sales Q/Q,Outstanding,Float,Insider Own,Insider Trans,Inst Own,Inst Trans,Float Short,Short Ratio,ROA,ROE,ROI,Curr R,Quick R,LTDebt/Eq,Debt/Eq,Gross M,Oper M,Profit M,Perf Week,Perf Month,Perf Quart,Perf Half,Perf Year,Perf YTD,Beta,ATR,Volatility W,Volatility M,SMA20,SMA50,SMA200,50D High,50D Low,52W High,52W Low,RSI,from Open,Gap,Recom,Avg Volume,Rel Volume,Price,Change,Volume,Earnings,Target Price,IPO Date
7581,7582,XSW,SPDR S&P Software & Services ETF,Financial,Exchange Traded Fund,USA,,,,,,,,,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.68,3.04,1.94,29.86,20.35,29.11,,1.46,1.48,1.43,2.04,1.34,9.84,-2.71,8.18,-2.71,38.38,54.3,0.77,0.65,,35800.0,0.81,96.24,1.43,28950.0,-,,9/29/2011
7582,7583,XT,iShares Exponential Technologies ETF,Financial,Exchange Traded Fund,USA,,,,,,,,,1.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.55,5.96,1.53,16.93,7.88,15.97,,0.38,0.63,0.79,2.55,2.06,4.93,-1.73,7.23,-1.73,22.76,58.98,0.21,0.39,,184160.0,0.97,38.57,0.6,177927.0,-,,3/31/2015
7583,7584,XTH,SPDR S&P Technology Hardware ETF,Financial,Exchange Traded Fund,USA,,,,,,,,,0.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.74,8.59,-0.74,21.21,3.02,22.45,,0.83,0.46,0.19,4.64,1.6,4.13,-5.14,11.0,-7.32,31.29,60.11,1.42,-0.09,,700.0,10.31,75.46,1.33,6270.0,-,,6/29/2016
7584,7585,XTL,SPDR S&P Telecom ETF,Financial,Exchange Traded Fund,USA,,,,,,,,,1.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.82,1.18,-4.27,9.48,-5.09,7.86,,0.82,1.05,0.98,0.29,-2.49,-3.41,-9.72,3.96,-12.55,15.35,46.91,0.49,0.34,,17300.0,0.19,67.69,0.83,3412.0,-,,1/27/2011
7585,7586,XTLB,XTL Biopharmaceuticals Ltd.,Healthcare,Biotechnology,Israel,10280000.0,1.72,,,,0.84,2.02,,,0.0,1.16,450.0,,21.3,,,342.9,,5140000.0,5140000.0,1.0,0.0,11.6,,0.29,5.81,68.6,70.3,,51.1,51.1,0.0,0.0,,,,0.0,-13.42,-23.26,-32.89,11.11,15.61,1.07,0.11,0.14,3.57,-5.04,-10.26,-8.15,-25.37,5.26,-48.12,39.86,43.72,-0.7,-1.02,2.0,2580.0,0.25,2.0,-1.72,650.0,Jun 04,30.0,9/1/2005
7586,7587,XTN,SPDR S&P Transportation ETF,Financial,Exchange Traded Fund,USA,,,,,,,,,0.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.68,6.71,1.31,14.41,-2.56,14.56,,0.89,1.3,1.25,3.07,0.85,0.78,-5.68,8.84,-11.59,21.03,57.43,1.58,0.02,,11730.0,1.28,61.22,1.59,14827.0,-,,1/27/2011
7587,7588,XTNT,"Xtant Medical Holdings, Inc.",Healthcare,Medical Appliances & Equipment,USA,32189999.999999996,,,,0.45,,4.53,35.77,,,-5.14,82.8,-94.2,29.2,20.0,16.9,69.7,-6.7,10730000.0,,1.02,0.0,90.0,-0.75,,9.61,-91.6,453.3,-173.1,3.0,1.5,,,59.3,-83.2,-95.3,0.67,-10.98,-0.33,20.97,-50.0,86.34,0.55,0.19,11.49,5.23,-0.76,-2.02,-4.97,-15.49,27.91,-52.89,86.34,50.96,24.48,-1.63,3.5,5990.0,1.09,3.0,22.45,6487.0,May 15/b,2.75,10/19/2015
7588,7589,XU,Elkhorn S&P MidCap Utilities,Financial,Exchange Traded Fund,USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,-,,1/10/2017
7589,7590,XVZ,iPath S&P 500 Dynamic VIX ETN,Financial,Exchange Traded Fund,USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.69,0.61,1.84,-5.55,-22.97,-12.58,,0.19,0.45,0.43,0.06,-0.21,-4.5,-2.69,2.9,-17.99,2.9,50.98,0.36,-0.63,,1490.0,1.51,18.13,-0.27,2184.0,-,,8/18/2011
7590,7591,XWEB,SPDR S&P Internet ETF,Financial,Exchange Traded Fund,USA,,,,,,,,,0.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.87,4.6,0.36,16.76,5.24,17.16,,1.23,1.06,1.34,0.55,0.17,2.71,-5.01,7.96,-9.76,27.32,49.42,0.03,0.66,,6750.0,0.42,89.11,0.69,2883.0,-,,6/28/2016
7591,7592,XXII,"22nd Century Group, Inc.",Healthcare,Biotechnology,USA,254290000.0,,,,9.56,3.73,4.9,,,,-0.1,50.2,,36.1,,29.4,-272.9,3.3,121670000.0,109000000.0,0.8,,26.6,-13.78,18.21,15.26,-14.3,-15.6,-33.0,9.3,8.7,0.01,0.02,2.7,-91.8,-42.9,7.18,5.03,22.22,-14.69,-11.81,-16.06,1.76,0.1,4.4,4.85,4.84,2.98,-10.74,-12.92,21.51,-36.47,32.28,53.1,2.45,0.0,,1300000.0,1.28,2.09,2.45,1693650.0,Aug 06/a,11.5,1/26/2011
7592,7593,XYF,X Financial,Financial,Credit Services,China,579490000.0,4.16,3.39,0.14,1.13,1.08,2.56,,2.67,,0.9,158.2,17.29,,29.31,,40.6,-1.6,154530000.0,5500000.0,,,1.9,-0.94,2.15,1.7,,,28.5,,,0.0,0.11,65.0,,,-7.86,-12.89,-33.04,-16.29,,-12.18,,0.23,4.36,5.02,-5.7,-18.91,-39.37,-35.9,3.02,-81.53,3.02,35.71,1.9,-1.34,,69400.0,0.63,3.75,0.54,43584.0,May 21/b,5.9,9/19/2018
7593,7594,XYL,Xylem Inc.,Industrial Goods,Diversified Machinery,USA,15030000000000.0,27.2,22.47,1.75,2.88,5.38,54.65,74.04,1.15,28.5,3.08,47.5,15.59,20.2,15.55,6.3,0.2,1.6,179700000.0,178420000.0,0.4,-14.87,93.0,0.82,1.97,4.06,7.5,20.5,12.3,1.4,1.0,0.73,0.84,39.0,12.5,10.5,2.3,12.83,5.82,27.99,25.96,25.36,1.21,1.31,1.38,1.59,4.36,5.4,12.45,-0.91,13.98,-0.91,37.91,63.48,2.05,0.12,2.2,864690.0,2.63,83.64,2.17,2211791.0,Aug 01/b,81.27,10/13/2011
7594,7595,XYN,"Xynomic Pharmaceuticals Holdings, Inc.",Healthcare,Biotechnology,USA,10020000.0,,,,,1.08,,,,,-0.25,-67.3,,,,,128.6,,2990000.0,760000.0,,,22.6,-85.7,0.62,0.09,,,,0.0,0.0,0.0,0.06,,,,-2.9,15.52,-68.03,-66.83,,-67.79,,0.53,14.58,20.02,1.82,-43.16,-63.12,-69.55,46.29,-69.55,46.29,35.54,-5.63,-2.2,,51730.0,1.34,3.35,-7.71,67671.0,-,,5/15/2019
7595,7596,Y,Alleghany Corporation,Financial,Property & Casualty Insurance,USA,9730000000000.0,33.05,16.48,0.88,1.31,1.2,12.51,30.8,,0.0,20.61,-55.1,5.29,-41.2,37.69,7.3,173.1,19.1,14290000.0,13950000.0,1.3,-0.06,84.1,-0.75,0.87,1.25,1.2,3.7,4.0,,,0.2,0.2,,3.7,4.1,-0.82,2.27,11.22,10.34,18.48,9.27,0.67,10.16,1.49,1.5,-0.3,1.26,7.28,-2.33,7.69,-2.33,19.41,52.0,0.69,0.34,2.2,96720.0,1.22,681.11,1.03,116850.0,Aug 06/a,715.0,7/19/1984
7596,7597,YANG,Direxion Daily FTSE China Bear 3X Shares,Financial,Exchange Traded Fund,USA,,,,,,,,,0.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.26,-19.0,4.15,-31.01,-28.84,-31.15,,1.89,1.46,2.36,-12.9,-9.41,-16.81,-22.2,16.68,-42.19,16.68,38.4,0.0,0.0,,438310.0,0.88,45.9,0.0,385000.0,-,,12/3/2009
7597,7598,YCBD,"cbdMD, Inc.",Services,Marketing Services,USA,154110000.0,,,,13.29,,21.71,,,,-3.41,86.1,97.3,,,,,83.9,26120000.0,19950000.0,0.6,,3.6,13.25,2.04,1.49,-62.1,-485.0,1.0,7.6,6.5,,,60.7,,,-2.64,-8.24,33.48,121.8,42.17,90.94,,0.37,6.64,6.6,-1.0,-0.7,27.87,-18.51,43.9,-30.42,132.28,48.2,3.51,1.42,2.0,273290.0,5.33,5.9,4.98,1349357.0,-,8.0,5/24/2018
7598,7599,YCL,ProShares Ultra Yen,Financial,Exchange Traded Fund,USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.03,2.47,3.72,2.08,-3.39,0.94,,0.42,0.33,0.51,0.54,3.05,3.72,-1.81,7.38,-3.28,8.53,60.16,-0.16,0.08,,3170.0,2.03,58.09,-0.08,6662.0,-,,12/9/2008
7599,7600,YCS,ProShares UltraShort Yen,Financial,Exchange Traded Fund,USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.14,-2.67,-3.9,-3.02,0.98,-0.54,,0.49,0.35,0.53,-0.13,-2.57,-3.55,-6.75,1.9,-7.42,4.11,41.25,0.14,0.02,,4340.0,0.56,73.46,0.16,2723.0,-,,11/25/2008
7600,7601,YELP,Yelp Inc.,Technology,Internet Information Providers,USA,2620000000000.0,50.79,34.32,1.53,2.75,2.81,4.19,18.74,,0.0,0.67,-64.4,53.7,43.4,33.2,32.3,158.8,5.7,76750000.0,73400000.0,0.8,-5.54,,-1.51,10.98,5.24,4.8,5.5,3.8,5.9,5.9,0.0,0.0,94.0,2.8,6.2,4.14,9.45,-0.93,-2.2,-11.68,-2.31,1.12,0.74,2.55,2.2,6.09,-0.6,-8.07,-16.61,13.25,-34.9,16.54,55.54,0.68,0.0,2.8,1540000.0,1.08,34.18,0.68,1652729.0,Aug 08/a,38.45,3/2/2012
7601,7602,YETI,"YETI Holdings, Inc.",Consumer Goods,Packaging & Containers,USA,2410000000000.0,38.55,22.32,2.73,3.01,68.93,126.68,25.69,,0.0,0.75,173.7,23.29,51.5,14.1,54.0,164.7,14.9,83140000.0,75400000.0,1.4,,81.4,6.46,21.32,8.46,12.5,-856.3,25.3,1.5,0.6,7.71,8.94,50.4,13.5,7.9,-0.82,12.3,-4.3,103.59,,95.08,,1.28,5.47,4.7,9.46,1.94,27.06,-20.9,25.27,-20.9,133.47,55.47,1.19,0.14,1.7,1900000.0,1.05,28.95,1.33,2030913.0,Aug 01/b,36.64,5/26/2014
7602,7603,YEXT,"Yext, Inc.",Technology,Internet Software & Services,USA,2180000000000.0002,,,,8.87,9.13,7.67,10899.83,,,-0.75,-33.0,14.6,,5.0,,0.8,34.7,108510000.0,92950000.0,7.4,,81.6,13.24,5.91,6.49,-27.9,-64.9,-89.8,2.1,2.1,0.0,0.0,75.2,-31.3,-30.8,0.05,5.07,-8.1,35.01,7.84,35.29,,0.72,3.14,4.07,3.22,-1.22,4.46,-11.11,18.18,-26.11,55.74,51.08,1.62,0.76,2.2,846070.0,2.52,20.09,2.4,2080190.0,May 30/a,25.0,4/13/2017
7603,7604,YGTY,SSLJ.com Limited,Services,Home Improvement Stores,China,16790000.0,,,,0.82,,,,,,-22.03,-98.0,,,,,,58.4,13280000.0,2730000.0,,,0.2,-25.31,4.5,1.28,,,-233.2,0.1,0.1,,,20.4,,,-50.6,-64.58,-49.42,-2.91,-93.63,-23.36,,0.51,29.19,20.01,-58.11,-62.09,-55.99,-70.31,-22.89,-93.95,1.17,23.12,-24.73,-1.18,,95600.0,1.34,1.26,-25.61,126338.0,-,,2/5/2018
7604,7605,YGYI,"Youngevity International, Inc.",Consumer Goods,Processed & Packaged Goods,USA,165810000.0,,16.76,,0.94,114.0,82.91,,,0.0,-1.39,-100.7,209.7,-57.7,,13.7,121.7,9.8,29090000.0,12540000.0,0.3,-5.56,4.8,63.63,6.37,7.38,6.3,20.5,-20.0,0.9,0.3,0.64,1.06,55.1,2.0,2.2,-4.68,-2.56,0.0,10.25,47.29,-0.35,0.58,0.42,9.58,7.73,4.63,-1.45,-13.96,-15.81,23.64,-64.92,59.66,51.31,-0.35,-0.35,,108230.0,9.22,5.7,-0.7,888260.0,Apr 04/b,17.0,2/3/2012
7605,7606,YIN,Yintech Investment Holdings Limited,Financial,Investment Brokerage - National,China,308320000.0,,,,1.66,0.91,7.79,,8.51,,-1.44,-280.9,,-53.6,,11.7,229.6,69.2,65599999.99999999,18410000.0,70.87,0.0,1.0,42.92,0.43,2.57,-20.4,-25.6,-34.7,,,0.0,0.0,99.8,-53.4,-58.1,10.07,-11.49,-25.4,-23.2,-41.4,-22.95,,0.43,9.82,8.64,2.99,-7.63,-22.7,-27.13,28.42,-44.96,28.42,49.8,6.82,0.69,,30440.0,0.39,4.7,7.55,11827.0,May 31/b,10.61,12/13/2016
7606,7607,YINN,Direxion Daily FTSE China Bull 3X Shares,Financial,Exchange Traded Fund,USA,,,,,,,,,1.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.18,19.32,-11.62,22.25,-10.51,22.89,,0.7,1.51,2.34,11.78,4.4,1.07,-20.23,24.46,-22.4,33.98,58.23,0.05,-0.09,,2510000.0,0.72,21.37,-0.05,1820160.0,-,,12/3/2009
7607,7608,YJ,Yunji Inc.,Services,"Specialty Retail, Other",China,2350000000000.0,,19.82,,1.14,,7.12,,,,,-33.1,670.0,,,,,53.2,207600000.0,28130000.0,,,,,2.55,1.62,,,2.7,1.3,1.0,,,9.8,-0.2,,7.41,2.45,,,,-20.14,,0.54,3.83,5.48,4.96,1.01,1.01,-37.91,13.68,-37.91,13.68,,5.41,-0.28,2.0,441590.0,0.5,11.3,5.12,225309.0,-,14.72,5/3/2019
7608,7609,YLCO,Global X YieldCo & Renewable Energy Income ETF,Financial,Exchange Traded Fund,USA,,,,,,,,,4.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.08,6.22,4.56,21.17,16.37,20.31,,0.14,0.79,1.01,2.14,4.08,9.93,-0.61,8.59,-0.61,22.21,60.41,-0.22,1.42,,7780.0,1.65,13.51,1.2,12819.0,-,,5/28/2015
7609,7610,YLD,Principal Active Income ETF,Financial,Exchange Traded Fund,USA,,,,,,,,,5.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.22,2.04,0.75,5.94,-0.07,5.76,,0.34,0.94,0.93,1.27,0.98,1.67,-4.11,2.66,-4.11,8.79,61.92,0.33,0.12,,44730.0,0.35,40.11,0.45,15727.0,-,,7/13/2015
7610,7611,YLDE,ClearBridge Dividend Strategy ESG ETF,Financial,Exchange Traded Fund,USA,,,,,,,,,1.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.26,2.91,15.93,15.16,,20.66,,0.22,0.15,0.12,2.06,3.51,9.95,-1.23,10.75,-1.23,20.66,60.66,0.03,0.39,,710.0,0.28,30.62,0.43,202.0,-,,5/26/2017
7611,7612,YMAB,"Y-mAbs Therapeutics, Inc.",Healthcare,Biotechnology,USA,761570000.0,,,,,6.23,5.67,,,,-1.95,-156.1,97.5,,,,-103.2,,33299999.999999996,16680000.0,51.22,,33.6,-1.54,2.59,2.58,,,,13.3,13.3,0.0,0.0,,,,1.64,7.72,-12.74,33.04,,12.44,,1.21,4.18,5.9,5.78,3.55,0.65,-12.74,20.18,-26.23,50.76,55.41,2.56,0.13,1.4,167370.0,13.46,22.87,2.69,1961436.0,Mar 19,34.67,9/21/2018
7612,7613,YMLI,VanEck Vectors High Income Infrastructure MLP ETF,Financial,Exchange Traded Fund,USA,,,,,,,,,7.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.38,-0.21,-4.19,7.14,-8.57,6.69,,0.16,1.07,0.99,0.47,-1.47,-3.95,-5.3,3.01,-18.16,12.88,50.34,1.09,0.85,,4320.0,1.54,11.78,1.95,6588.0,-,,2/12/2013
7613,7614,YMLP,VanEck Vectors High Income MLP ETF,Financial,Exchange Traded Fund,USA,,,,,,,,,8.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.24,2.5,-1.1,19.1,-9.15,15.21,,0.18,1.01,0.77,1.47,-0.3,-0.41,-3.66,3.02,-15.38,22.88,55.89,0.44,0.37,,4330.0,0.6,19.76,0.81,2577.0,-,,3/14/2012
7614,7615,YNDX,Yandex N.V.,Technology,Internet Information Providers,Netherlands,12690000000000.0,16.49,19.28,24.58,5.78,4.28,10.86,181.75,,0.0,2.3,435.9,39.99,28.7,0.67,26.4,49.1,40.3,333840000.0,279820000.0,3.49,0.0,82.1,1.63,0.64,0.75,18.9,27.1,22.6,2.6,2.6,0.0,0.0,70.5,37.1,35.2,-2.61,4.42,10.66,37.88,9.99,38.94,2.01,0.97,2.93,2.2,0.36,1.93,14.74,-4.93,9.86,-4.93,52.61,49.84,-1.88,-0.28,1.6,2380000.0,1.05,38.0,-2.16,2511542.0,Jul 25/b,45.53,5/24/2011
7615,7616,YOGA,"YogaWorks, Inc.",Services,Personal Services,USA,11100000.0,,,,0.19,0.61,1.82,,,,-2.1,15.1,2.8,,,,17.3,1.3,18500000.0,4350000.0,4.63,,76.3,-0.83,2.42,1.03,-77.5,-122.0,-168.2,0.7,0.6,0.0,0.0,59.8,-58.0,-57.8,-16.67,-7.44,-34.78,33.93,-67.83,17.65,,0.07,8.5,11.45,-17.85,-25.1,-24.49,-51.22,8.88,-72.48,60.81,35.72,-13.42,5.0,2.2,102070.0,0.65,0.6,-9.09,67847.0,Aug 13/a,2.17,8/7/2017
7616,7617,YOLO,AdvisorShares Pure Cannabis ETF,Financial,Exchange Traded Fund,USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.36,-4.65,,,,-7.77,,0.61,2.02,2.57,-0.52,-5.1,-5.1,-13.23,3.81,-13.23,3.81,45.34,-0.16,0.79,,118970.0,0.34,22.99,0.63,41114.0,-,,7/18/2014
7617,7618,YORW,The York Water Company,Utilities,Water Utilities,USA,462290000.0,33.95,30.66,6.93,9.51,3.63,,,1.93,64.6,1.05,1.6,4.95,6.8,4.9,2.7,7.9,1.7,12940000.0,12790000.0,1.0,1.94,38.9,3.6,0.82,5.98,4.0,10.9,9.1,0.8,0.7,0.74,0.74,,46.6,28.0,0.76,2.56,4.08,13.54,9.07,11.42,0.22,0.83,3.49,2.17,2.77,3.67,8.08,-1.68,10.61,-2.14,23.39,59.66,3.21,-0.26,2.0,17520.0,4.21,35.72,2.94,70292.0,Aug 06,36.0,5/3/1999
7618,7619,YPF,YPF Sociedad Anonima,Basic Materials,Major Integrated Oil & Gas,Argentina,7260000000000.0,10.53,12.15,,0.63,0.75,4.55,7.17,0.44,204.2,1.73,213.2,98.81,49.8,-6.39,37.1,-159.7,72.6,398910000.0,172700000.0,99.5,0.0,27.2,7.29,4.17,3.35,2.4,7.1,-1.1,1.1,0.8,0.79,1.01,17.6,7.5,5.0,-0.05,22.46,29.98,37.23,27.34,36.0,1.17,0.54,2.29,3.29,8.05,17.49,21.68,-2.02,43.61,-2.02,51.94,76.08,-0.65,0.16,2.0,2150000.0,0.54,18.21,-0.49,1162572.0,Aug 08/a,19.71,6/29/1993
7619,7620,YRCW,YRC Worldwide Inc.,Services,Trucking,USA,133800000.00000001,,5.0,,0.03,,1.06,4.14,,,-0.46,280.5,181.0,15.6,68.16,0.9,-233.0,-2.7,33200000.000000004,31580000.0,10.1,0.0,74.4,15.13,12.55,4.97,-0.8,4.3,23.1,1.0,1.0,,,10.8,2.3,-0.3,-4.73,-10.04,-39.76,33.0,-59.78,27.94,4.45,0.25,7.58,6.01,-1.35,-24.9,-37.33,-51.68,13.84,-63.5,67.22,40.14,4.13,0.0,2.7,797130.0,1.47,4.03,4.13,1153882.0,Aug 07/b,8.8,7/9/1986
7620,7621,YRD,Yirendai Ltd.,Financial,Credit Services,China,836200000.0,6.08,4.69,,1.02,1.14,2.83,,2.03,24.3,2.26,-30.7,21.84,156.5,-0.22,347.5,-26.8,-30.4,60770000.0,11250000.0,,,10.9,-5.14,16.31,9.75,11.9,20.5,12.1,,,0.0,0.0,88.5,17.0,17.2,-2.27,-10.71,1.47,33.46,-31.91,28.0,2.75,0.69,4.52,4.8,-4.0,-9.62,-5.97,-21.1,5.85,-38.84,43.18,42.97,2.3,-1.03,2.9,188160.0,0.82,13.76,1.25,155777.0,Jul 10/a,16.92,12/18/2015
7621,7622,YRIV,Yangtze River Port and Logistics Limited,Financial,REIT - Diversified,USA,98270000.0,,,,,0.54,982.7,,,,-0.07,-15.7,,,,,18.2,,179850000.0,1460000.0,,,0.3,-12.35,83.91,0.18,,,,,,0.24,0.67,,,,4.55,-25.14,-2.38,-86.99,-94.99,-86.2,3.01,0.09,13.35,19.0,-0.59,-27.35,-88.2,-58.92,43.79,-95.97,84.59,46.61,-4.06,2.97,,6760000.0,0.12,0.55,-1.21,815156.0,-,,1/2/2015
7622,7623,YTEN,"Yield10 Bioscience, Inc.",Basic Materials,Specialty Chemicals,USA,11500000.0,,,,19.17,1.64,1.89,,,,-0.9,71.9,30.9,54.9,0.0,-31.8,8.9,0.0,11870000.0,8119999.999999999,0.3,,7.4,2.57,7.35,3.84,-75.8,-126.9,,4.5,4.5,0.0,0.15,,,,11.39,13.98,-15.02,29.17,-30.3,16.72,3.31,0.07,6.66,10.01,12.88,2.3,-15.49,-34.1,32.71,-45.19,42.47,58.72,10.4,-4.94,1.3,155340.0,0.2,0.97,4.95,30797.0,Aug 08/a,5.0,11/10/2006
7623,7624,YTRA,"Yatra Online, Inc.",Conglomerates,Conglomerates,India,173390000.0,,,,1.15,3.82,2.91,,,,-0.27,51.1,61.8,,,,-52.6,-34.4,46360000.0,33900000.0,25.34,0.0,41.7,-0.46,1.86,6.54,-5.0,-29.2,-549.8,1.1,1.1,0.02,0.42,55.2,-30.3,-6.4,-10.74,-11.16,-23.83,-8.11,-31.75,-6.97,,0.18,3.32,4.28,-6.77,-13.01,-19.87,-23.2,3.03,-43.89,3.03,33.52,-1.58,-0.26,1.7,96270.0,1.24,3.74,-1.84,121358.0,Jul 01,7.83,12/19/2016
7624,7625,YUM,"YUM! Brands, Inc.",Services,Restaurants,USA,33830000000000.0,27.51,26.13,1.82,6.07,,121.69,58.32,1.52,34.6,4.02,-10.2,10.81,13.6,15.08,-15.3,-35.6,-8.5,305670000.0,305480000.0,0.15,-26.82,78.1,0.99,1.74,3.58,31.6,-18.0,90.1,0.9,,,,48.1,39.1,24.6,0.36,8.98,10.88,21.67,40.32,20.4,0.58,1.34,0.99,1.27,1.91,5.89,15.96,-0.56,11.84,-0.56,43.56,68.15,0.0,0.1,2.5,1490000.0,2.67,110.67,0.1,3871236.0,Jul 31/b,105.63,9/17/1997
7625,7626,YUMA,"Yuma Energy, Inc.",Basic Materials,Independent Oil & Gas,USA,4300000.0,,,,0.22,0.78,3.07,,,,-1.28,-61.4,,46.7,,-5.2,-346.1,-28.6,21290000.0,17650000.0,15.38,0.0,22.0,-57.11,1.37,0.05,-37.3,-144.3,-22.9,0.1,0.1,0.0,5.72,48.4,,,4.66,-7.77,69.75,91.47,-71.94,34.67,2.07,0.03,14.35,13.01,-1.78,-18.79,-5.06,-64.79,34.67,-79.39,124.44,46.61,1.81,7.3,,4940000.0,0.47,0.2,9.25,2331665.0,May 31/a,,1/2/1997
7626,7627,YUMC,"Yum China Holdings, Inc.",Services,Restaurants,China,17510000000000.002,29.9,24.02,4.9,2.06,5.86,11.44,35.81,1.04,26.2,1.55,20.5,11.22,38.9,6.1,4.0,-20.3,3.7,379000000.0,377410000.0,0.2,-19.11,82.5,3.66,1.78,2.23,12.4,21.7,23.8,1.3,1.1,0.01,0.01,44.6,10.0,7.6,0.28,17.56,2.87,38.36,22.97,37.79,,0.98,1.43,2.34,8.06,7.15,19.52,-4.29,20.38,-4.29,53.49,68.1,0.17,0.09,2.1,3010000.0,2.46,46.2,0.26,7216880.0,Jul 30/a,50.17,10/17/2016
7627,7628,YVR,Liquid Media Group Ltd.,Services,Entertainment - Diversified,Canada,7400000.0,,,,24.68,1.06,1.42,,,,-5.77,-112.3,,-29.9,,-46.2,7.5,-46.3,4230000.0,3700000.0,21.6,,0.7,3.5,0.09,0.04,,,,1.8,,0.29,0.41,,,,-2.78,-37.05,-50.7,0.0,-70.59,-13.36,1.72,0.2,5.51,11.15,-11.06,-42.18,-43.02,-59.3,9.37,-82.93,9.37,29.36,-0.57,-1.68,,74660.0,0.19,1.75,-2.23,14665.0,-,4.4,8/13/2018
7628,7629,YXI,ProShares Short FTSE China 50,Financial,Exchange Traded Fund,USA,,,,,,,,,0.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.95,-6.78,1.84,-10.49,-7.81,-10.74,,0.22,0.53,0.74,-4.41,-3.0,-4.69,-7.98,5.51,-14.98,5.62,38.43,0.43,-0.43,,9790.0,0.35,18.78,0.0,3423.0,-,,3/18/2010
7629,7630,YY,YY Inc.,Technology,Internet Information Providers,China,5570000000000.0,8.47,10.58,8.26,2.21,1.31,2.51,,,0.0,8.23,-38.1,32.01,25.7,1.03,53.9,447.3,47.1,79910000.0,31080000.0,2.04,0.0,64.3,0.49,7.51,2.09,15.3,20.9,11.7,2.7,,0.0,0.04,35.5,14.6,24.9,-0.29,-0.78,-17.05,14.92,-32.6,16.42,1.21,2.79,2.84,3.51,-3.39,-5.84,-2.5,-21.56,9.67,-33.56,25.45,43.36,0.24,0.7,1.8,1120000.0,1.4,69.69,0.94,1514947.0,May 28/a,91.6,11/21/2012
7630,7631,YYY,YieldShares High Income ETF,Financial,Exchange Traded Fund,USA,,,,,,,,,9.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.44,2.34,1.53,13.13,-1.1,11.72,,0.1,0.44,0.49,1.16,0.82,2.29,-0.63,4.55,-3.66,16.36,56.86,0.06,0.0,,67230.0,1.83,17.92,0.06,120134.0,-,,6/12/2012
7631,7632,Z,"Zillow Group, Inc.",Technology,Internet Information Providers,USA,6520000000000.0,,,,4.39,2.9,,,,,-0.84,-197.4,26.3,,,,,51.4,140630000.0,132650000.0,1.21,104.94,2.55,,20.76,8.53,,,,,,,,,,,2.38,6.16,33.53,44.52,-23.57,46.9,,1.62,3.99,3.74,2.48,14.96,23.69,-4.68,46.13,-27.36,75.85,60.52,3.2,0.22,3.0,3230000.0,1.27,46.39,3.43,4080424.0,Aug 08/a,41.0,7/20/2011
7632,7633,ZAGG,ZAGG Inc,Services,"Specialty Retail, Other",USA,200590000.0,10.96,4.66,1.1,0.4,1.28,13.55,,,0.0,0.64,42.3,7.34,55.3,10.0,19.7,-303.9,-29.7,28820000.0,27540000.0,2.7,0.0,82.4,1.44,5.91,2.88,5.4,11.8,19.1,2.0,1.1,0.6,0.0,34.1,5.3,3.5,-2.66,4.35,-23.26,-22.92,-60.23,-28.83,1.44,0.32,5.17,4.32,2.35,-3.29,-32.43,-21.57,11.54,-61.23,11.54,49.89,-0.29,1.16,,565400.0,2.65,6.96,0.87,1452937.0,Aug 06/a,15.3,9/4/2007
